index,word,score,data_frequency
1050,LOBBY,12,6887477
1051,LOCAL,7,270742935
1052,LOCKS,11,6536771
1053,LOCUS,7,3009222
1054,LODGE,7,21541130
1055,LOGAN,6,5539308
1056,LOGIC,8,23989892
1057,LOGIN,6,144200144
1058,LOGON,6,2891286
1059,LOGOS,6,18366230
1060,LOHAN,8,3352800
1061,LOOKS,9,43897035
1062,LOOPS,7,5439483
1063,LOOSE,5,12556710
1064,LORDS,6,4862111
1065,LOSER,5,2529180
1066,LOSES,5,3942953
1067,LOTTO,5,3112797
1068,LOTUS,5,9759485
1069,LOUIS,5,38259201
1070,LOVED,9,19719299
1071,LOVER,8,9234545
1072,LOVES,8,12566621
1073,LOWER,8,72606927
1074,LOYAL,8,4498834
1075,LUCKY,14,14053901
1076,LUNAR,5,3611744
1077,LUNCH,10,20807419
1078,LUNGS,6,2828099
1079,LUPUS,7,1538621
1080,LYING,9,8260845
1081,LYMPH,15,1781845
1082,LYNCH,13,4920597
1083,LYRIC,10,6970278
1084,MACON,9,2437697
1085,MACRO,9,9885853
1086,MADAM,10,2023575
1087,MAFIA,10,2666020
1088,MAGIC,10,36676771
1089,MAILS,7,5397230
1090,MAINS,7,2652029
1091,MAIZE,16,2222076
1092,MAJOR,14,122592252
1093,MAKER,11,16635947
1094,MAKES,11,87829598
1095,MALES,7,8708016
1096,MALLS,7,4362513
1097,MAMBO,11,5164902
1098,MANGA,8,12774174
1099,MANGO,8,2171900
1100,MANIA,7,3688699
1101,MANIC,9,1448525
1102,MANOR,7,7084688
1103,MAPLE,9,9704551
1104,MARCH,12,158281269
1105,MARIA,7,14347893
1106,MARKS,11,19747824
1107,MARRY,10,4388137
1108,MARSH,10,5073104
1109,MASKS,11,4548281
1110,MASON,7,9461838
1111,MATCH,12,53532481
1112,MATER,7,1493901
1113,MATES,7,2878121
1114,MATHS,10,3231878
1115,MATTE,7,2909215
1116,MAVEN,10,1754819
1117,MAXIM,16,3820484
1118,MAYBE,12,51895609
1119,MAYOR,10,15030847
1120,MEALS,7,11515834
1121,MEANS,7,105946662
1122,MEANT,7,17832930
1123,MEATS,7,2168286
1124,MEDAL,8,7747036
1125,MEDIA,8,216432510
1126,MEETS,7,17760399
1127,MENUS,7,8283476
1128,MERCY,12,6831149
1129,MERGE,8,5961585
1130,MERIT,7,6450895
1131,MERRY,10,6367037
1132,MESSY,10,2833021
1133,METAL,7,56181783
1134,METER,7,22874915
1135,METRE,7,2350745
1136,METRO,7,18738665
1137,MICRO,9,22219932
1138,MIDST,8,3381410
1139,MIGHT,11,123196001
1140,MIKES,11,2933878
1141,MILES,7,100012522
1142,MILFS,10,18358745
1143,MILKY,14,1515925
1144,MILLS,7,11910667
1145,MINDS,8,9529696
1146,MINER,7,2264812
1147,MINES,7,5542234
1148,MINOR,7,29782623
1149,MINUS,7,7025364
1150,MISSY,10,1925451
1151,MISTY,10,2651773
1152,MITCH,12,2464162
1153,MIXED,15,25395056
1154,MIXER,14,5558245
1155,MIXES,14,3552046
1156,MODAL,8,1718570
1157,MODEL,8,161205740
1158,MODEM,10,15984492
1159,MODES,8,14131325
1160,MOIST,7,2140516
1161,MOLDS,8,1552621
1162,MOLLY,10,4328076
1163,MOMMA,11,1609120
1164,MOMMY,14,3025970
1165,MONDE,8,1721758
1166,MONDO,8,1664921
1167,MONEY,10,190205072
1168,MONKS,11,2103722
1169,MONTE,7,6411384
1170,MONTH,10,123027963
1171,MONTY,10,2730888
1172,MOODS,8,1437510
1173,MOODY,11,3776452
1174,MOOSE,7,3581329
1175,MORAL,7,13643598
1176,MORSE,7,2382036
1177,MOSES,7,5615802
1178,MOTEL,7,9170238
1179,MOTIF,10,2961524
1180,MOTOR,7,40615655
1181,MOTTO,7,1894147
1182,MOULD,8,1479845
1183,MOUND,8,2259654
1184,MOUNT,7,36648260
1185,MOUSE,7,33667003
1186,MOUTH,10,22880351
1187,MOVED,11,35713495
1188,MOVER,10,2309084
1189,MOVES,10,15789001
1190,MOVIE,10,158421100
1191,MOWER,10,1579636
1192,MUDDY,12,1860188
1193,MUMMY,14,1878933
1194,MUSIC,9,414028837
1195,MYTHS,13,4253827
1196,NAILS,5,6463889
1197,NAIVE,8,1848489
1198,NAKED,10,43110969
1199,NAMED,8,34099544
1200,NAMES,7,71918906
1201,NANCY,10,13381057
1202,NANNY,8,3025474
1203,NASAL,5,2536094
1204,NASTY,8,7434847
1205,NATAL,5,3010028
1206,NAVAL,8,8091649
1207,NAVEL,8,1503077
1208,NAZIS,14,1694605
1209,NEEDS,6,123595776
1210,NEEDY,9,1636137
1211,NEGRO,6,2489080
1212,NELLY,8,4686900
1213,NERVE,8,6567418
1214,NEVER,8,149556758
1215,NEWER,8,7122879
1216,NEWLY,11,21102330
1217,NEXUS,12,2728391
1218,NICHE,10,3999108
1219,NICHT,10,2762565
1220,NIFTY,11,1981740
1221,NIGER,6,5388602
1222,NIGHT,9,130531484
1223,NINJA,12,4439780
1224,NINTH,8,4390562
1225,NITRO,5,2533124
1226,NOBLE,7,12604679
1227,NODES,6,11208722
1228,NOISE,5,25171520
1229,NOISY,8,3722908
1230,NOMAD,8,1422041
1231,NORMA,7,1665222
1232,NORMS,7,3135997
1233,NORTH,8,217809513
1234,NOTCH,10,3302495
1235,NOTED,6,29754565
1236,NOTES,5,79958318
1237,NOVEL,8,21821189
1238,NUDES,6,3964133
1239,NURSE,5,16772151
1240,NYLON,8,10410171
1241,OASIS,5,9270498
1242,OBESE,7,1673406
1243,OCCUR,9,24679212
1244,OCEAN,7,31928741
1245,OCTET,7,2280607
1246,OFFER,11,126228968
1247,OFTEN,8,92551460
1248,OLDER,6,44222089
1249,OLIVE,8,9298184
1250,OMEGA,8,10289113
1251,ONION,5,6384730
1252,ONSET,5,3858839
1253,OPENS,7,14070477
1254,OPERA,7,18225169
1255,OPTED,8,1708067
1256,OPTIC,9,4558869
1257,ORBIT,7,5389062
1258,ORDER,6,336631187
1259,ORGAN,6,9077449
1260,ORTHO,8,2295530
1261,OSCAR,7,8285553
1262,OTHER,8,978481319
1263,OTTER,5,1662335
1264,OUGHT,9,7523238
1265,OUNCE,7,3268355
1266,OUTER,5,11245167
1267,OVENS,8,3443150
1268,OWING,9,2399321
1269,OWNED,9,35050234
1270,OWNER,8,58189056
1271,OXIDE,13,5321340
1272,OZONE,14,5865280
1273,PACED,10,2755521
1274,PACKS,13,11683277
1275,PADDY,12,1668962
1276,PAGAN,8,3805644
1277,PAGER,8,1942889
1278,PAGES,8,234001114
1279,PAINS,7,2717960
1280,PAINT,7,21926890
1281,PAIRS,7,9432115
1282,PALMS,9,3127466
1283,PANDA,8,3424825
1284,PANEL,7,53784382
1285,PANIC,9,6396440
1286,PANTS,7,16774383
1287,PANTY,10,3546636
1288,PAOLO,7,2174306
1289,PAPER,9,134939426
1290,PARIS,7,48831449
1291,PARKS,11,25974927
1292,PARSE,7,3698919
1293,PARTS,7,100637505
1294,PARTY,10,144707500
1295,PASTA,7,5855460
1296,PASTE,7,8913055
1297,PATCH,12,39999745
1298,PATHS,10,8806073
1299,PATIO,7,7627536
1300,PATTY,10,2339693
1301,PAUSE,7,4606318
1302,PAVED,11,1914582
1303,PAYER,10,1439009
1304,PEACE,9,47856201
1305,PEACH,12,3938068
1306,PEAKS,11,4011396
1307,PEARL,7,18707334
1308,PEDAL,8,3763705
1309,PEDRO,8,4247791
1310,PEERS,7,5188853
1311,PEGGY,12,3160922
1312,PENAL,7,1467202
1313,PENIS,7,18478169
1314,PENNY,10,7162062
1315,PEPSI,9,1933586
1316,PERRY,10,9785838
1317,PESOS,7,1676404
1318,PESTS,7,2136804
1319,PETER,7,59541743
1320,PETIT,7,2120813
1321,PETTY,10,3195594
1322,PHASE,10,40722940
1323,PHONE,10,256643812
1324,PHONO,10,1418855
1325,PHOTO,10,227125249
1326,PIANO,7,19419956
1327,PICKS,13,16627992
1328,PIECE,9,44298807
1329,PILES,7,1694029
1330,PILLS,7,13767091
1331,PILOT,7,21909830
1332,PINCH,12,2082769
1333,PINES,7,3062800
1334,PINOT,7,1481847
1335,PIPER,9,3346631
1336,PIPES,9,5966191
1337,PITCH,12,9800556
1338,PIVOT,10,1734444
1339,PIXEL,14,8813200
1340,PIZZA,25,14763787
1341,PLACE,9,220970235
1342,PLAID,8,1679093
1343,PLAIN,7,23747230
1344,PLANE,7,17799728
1345,PLANS,7,77295630
1346,PLANT,7,53247607
1347,PLATE,7,24275560
1348,PLAYA,10,3723548
1349,PLAYS,10,21753930
1350,PLAZA,16,14274314
1351,PLOTS,7,5466589
1352,PLUGS,8,4333394
1353,PLUMP,11,3386553
1354,PLUSH,10,4692870
1355,PLUTO,7,2466856
1356,POEMS,9,12662561
1357,POETS,7,4248574
1358,POINT,7,175527859
1359,POKER,11,129054826
1360,POLAR,7,7715471
1361,POLES,7,4074284
1362,POLLS,7,20694349
1363,POLLY,10,2268880
1364,PONDS,8,2882178
1365,POOLS,7,6977605
1366,POPPY,14,1805254
1367,PORCH,12,3420626
1368,PORNO,7,36925475
1369,PORTS,7,19171802
1370,POSED,8,3604888
1371,POSES,7,3280246
1372,POSTS,7,216822128
1373,POUCH,12,4023912
1374,POUND,8,13620117
1375,POWER,10,226596368
1376,PRATT,7,2503054
1377,PRESS,7,179652730
1378,PRICE,9,501651226
1379,PRIDE,8,14428078
1380,PRIMA,9,3131523
1381,PRIME,9,38308402
1382,PRINT,7,178250872
1383,PRIOR,7,62949059
1384,PRISM,9,2648058
1385,PRIZE,16,16204739
1386,PROBE,9,9643801
1387,PROMO,9,6616863
1388,PRONE,7,3001079
1389,PROOF,10,26305059
1390,PROPS,9,3032812
1391,PROSE,7,3085898
1392,PROTO,7,2240138
1393,PROUD,8,17167504
1394,PROVE,10,16046788
1395,PROXY,17,10773043
1396,PSALM,9,2220027
1397,PSYCH,15,1422877
1398,PUFFY,16,3488647
1399,PULLS,7,3846669
1400,PULSE,7,18893735
1401,PUMPS,11,9456489
1402,PUNCH,12,6872844
1403,PUPIL,9,4167137
1404,PUPPY,14,6662287
1405,PURSE,7,5488891
1406,PUSSY,10,59206591
1407,QUAKE,18,4544481
1408,QUARK,18,2286617
1409,QUART,14,2002127
1410,QUASI,14,2804115
1411,QUEEN,14,32366847
1412,QUEER,14,2717979
1413,QUERY,17,31284313
1414,QUEST,14,14258533
1415,QUEUE,14,7398569
1416,QUICK,20,85584600
1417,QUIET,14,16746894
1418,QUILT,14,5187075
1419,QUITE,14,58777731
1420,QUOTA,14,3245515
1421,QUOTE,14,139242226
1422,RABBI,9,3488700
1423,RACER,7,3625077
1424,RACES,7,9715279
1425,RACKS,11,7436380
1426,RADAR,6,14982375
1427,RADIO,6,113285624
1428,RAILS,5,4364886
1429,RAINS,5,2183544
1430,RAINY,8,2469088
1431,RAISE,5,21099943
1432,RALLY,8,9155530
1433,RALPH,10,12190683
1434,RAMPS,9,1651245
1435,RANCH,10,10539650
1436,RANDY,9,8110369
1437,RANGE,6,128314924
1438,RANKS,9,7222499
1439,RANTS,5,3561826
1440,RAPED,8,2040735
1441,RAPID,8,19070672
1442,RATED,6,59102029
1443,RATES,5,137089538
1444,RATIO,5,26457942
1445,RAVEN,8,4630541
1446,RAZOR,14,3451657
1447,REACH,10,35687918
1448,REACT,7,4126376
1449,READS,6,13174104
1450,READY,9,62667516
1451,REALM,7,6122762
1452,REBEL,7,6527810
1453,RECAP,9,2861982
1454,RECON,7,1955124
1455,REEFS,8,1553553
1456,REELS,5,2371017
1457,REFER,8,27099706
1458,REGAL,6,2236787
1459,REHAB,10,6460331
1460,REIGN,6,3505605
1461,REIKI,9,1962162
1462,RELAX,12,8856944
1463,RELAY,8,9275052
1464,REMIX,14,7132676
1465,RENAL,5,4494106
1466,RENEW,8,6561081
1467,RENTS,5,2094682
1468,REPAY,10,1746487
1469,REPLY,10,184777992
1470,RESET,5,10021033
1471,RESIN,5,4966700
1472,RESTS,5,2645136
1473,RETRO,5,8000179
1474,REUSE,5,3950428
1475,RHINO,8,2619135
1476,RHYME,13,1530733
1477,RIDER,6,8987802
1478,RIDES,6,6461201
1479,RIDGE,7,15993437
1480,RIFLE,8,5047417
1481,RIGHT,9,273620358
1482,RIGID,7,4240019
1483,RILEY,8,4443795
1484,RINGS,6,28827859
1485,RINSE,5,1885846
1486,RIOTS,5,1463036
1487,RISEN,5,2619862
1488,RISES,5,4124482
1489,RISKS,9,19205769
1490,RISKY,12,2412508
1491,RIVAL,8,4298220
1492,RIVER,8,78843808
1493,ROACH,10,3017586
1494,ROADS,6,15093621
1495,ROAST,5,3205415
1496,ROBES,7,1600721
1497,ROBIN,7,11423944
1498,ROBOT,7,12656312
1499,ROCKS,11,12427428
1500,ROCKY,14,10404321
1501,RODEO,6,3587192
1502,ROGER,6,15353411
1503,ROGUE,6,4576302
1504,ROLES,5,13171507
1505,ROLLS,5,9220414
1506,ROMAN,7,17431193
1507,ROMEO,7,4990395
1508,ROOFS,8,1553687
1509,ROOMS,7,65453403
1510,ROOTS,5,12609370
1511,ROPES,7,2384639
1512,ROSES,5,13584758
1513,ROTOR,5,2003039
1514,ROUGE,6,6084449
1515,ROUGH,9,11557184
1516,ROUND,6,61836702
1517,ROUTE,5,31439231
1518,ROVER,8,8537021
1519,ROWAN,8,2014844
1520,ROYAL,8,45407189
1521,RUBIN,7,1889443
1522,RUGBY,11,12992179
1523,RUINS,5,3159891
1524,RULED,6,5589851
1525,RULER,5,2615554
1526,RULES,5,97658641
1527,RUMOR,7,2455494
1528,RUPEE,7,2831536
1529,RURAL,5,30998929
1530,RUSTY,8,2780895
1531,SABLE,7,1501050
1532,SACKS,11,1808394
1533,SADLY,9,3905175
1534,SAFER,8,5085040
1535,SAILS,5,1601569
1536,SAINT,5,38929141
1537,SAKAI,9,2152556
1538,SALAD,6,8923706
1539,SALES,5,173244220
1540,SALLE,5,1426680
1541,SALLY,8,5933047
1542,SALON,5,10079006
1543,SALSA,5,4234056
1544,SALTS,5,2144773
1545,SAMBA,9,5838327
1546,SAMMY,12,2447628
1547,SANDS,6,4428127
1548,SANDY,9,9897487
1549,SANTO,5,1772980
1550,SASSY,8,1657970
1551,SATIN,5,6620674
1552,SAUCE,7,10968629
1553,SAUNA,5,4202256
1554,SAVED,9,19635976
1555,SAVER,8,10258158
1556,SAVES,8,6892635
1557,SAVVY,14,3140230
1558,SCALE,7,46307526
1559,SCAMS,9,2662588
1560,SCANS,7,3877627
1561,SCARE,7,2972708
1562,SCARF,10,3181107
1563,SCARS,7,1677547
1564,SCARY,10,5571680
1565,SCENE,7,29372413
1566,SCENT,7,3277212
1567,SCION,7,2245350
1568,SCOOP,9,5272369
1569,SCOPE,9,23349420
1570,SCORE,7,69315004
1571,SCOTS,7,1911314
1572,SCOUT,7,6176157
1573,SCRAP,9,3757085
1574,SCREW,10,8177263
1575,SCRUB,9,2360299
1576,SCUBA,9,6366349
1577,SEALS,5,4958012
1578,SEARS,5,4897480
1579,SEATS,5,17070818
1580,SEDAN,6,4769270
1581,SEEDS,6,11196921
1582,SEEKS,9,10174194
1583,SEEMS,7,55276661
1584,SEIZE,14,1908868
1585,SELLS,5,8827377
1586,SEMEN,7,1553302
1587,SENDS,6,7512707
1588,SENSE,5,52629633
1589,SERIF,8,2109334
1590,SERUM,7,5854942
1591,SERVE,8,36697856
1592,SERVO,8,1581719
1593,SETUP,7,23534848
1594,SEVEN,8,44224906
1595,SEWER,8,5008805
1596,SEXES,12,1608110
1597,SHACK,14,2739743
1598,SHADE,9,6996835
1599,SHADY,12,2059463
1600,SHAFT,11,6431372
1601,SHAKE,12,6839319
1602,SHALL,8,191963867
1603,SHALT,8,1854326
1604,SHAME,10,6785296
1605,SHAPE,10,25675227
1606,SHARE,8,119294241
1607,SHARK,12,5904454
1608,SHARP,10,24904199
1609,SHAVE,11,2580057
1610,SHAWN,11,4642740
1611,SHEAR,8,2886210
1612,SHEDS,9,1874143
1613,SHEEP,10,8962638
1614,SHEER,8,6684477
1615,SHEET,8,44295187
1616,SHELF,11,11287023
1617,SHELL,8,20599318
1618,SHIFT,11,19811555
1619,SHINE,8,5881862
1620,SHINY,11,3192674
1621,SHIPS,10,56365355
1622,SHIRE,8,2665081
1623,SHIRT,8,40501964
1624,SHOCK,14,14850388
1625,SHOES,8,80755612
1626,SHOOK,12,2917411
1627,SHOOT,8,12695618
1628,SHOPS,10,38241315
1629,SHORE,8,12568485
1630,SHORT,8,106755242
1631,SHOTS,8,19611119
1632,SHOUT,8,3965861
1633,SHOWN,11,68755779
1634,SHOWS,11,84804638
1635,SHRUB,10,1458217
1636,SIDED,7,4982500
1637,SIDES,6,17269191
1638,SIEGE,6,2518421
1639,SIGHT,9,13360499
1640,SIGMA,8,11864409
1641,SIGNS,6,31899467
1642,SILKY,12,1749406
1643,SILLY,8,6833654
1644,SILVA,8,3132617
1645,SINCE,7,214302926
1646,SINGS,6,2723225
1647,SINKS,9,3399604
1648,SINUS,5,1738565
1649,SITES,5,202755734
1650,SIXTH,15,9920054
1651,SIXTY,15,4851534
1652,SIZED,15,12775596
1653,SIZES,14,23751367
1654,SKATE,9,4932092
1655,SKIES,9,3796788
1656,SKILL,9,15835076
1657,SKINS,9,7370612
1658,SKIRT,9,9981485
1659,SKULL,9,4457991
1660,SLACK,11,1954286
1661,SLANG,6,1817718
1662,SLASH,8,2935535
1663,SLATE,5,3813904
1664,SLAVE,8,10692715
1665,SLEEK,9,2734565
1666,SLEEP,7,29491537
1667,SLEPT,7,2370802
1668,SLICE,7,4628779
1669,SLICK,11,2372634
1670,SLIDE,6,22339084
1671,SLING,6,1688770
1672,SLIPS,7,2587498
1673,SLOAN,5,2040295
1674,SLOPE,7,6469975
1675,SLOTS,5,12452126
1676,SLUTS,5,8430809
1677,SMACK,13,1451860
1678,SMALL,7,208371878
1679,SMART,7,36636558
1680,SMASH,10,3192001
1681,SMELL,7,6642666
1682,SMILE,7,13893537
1683,SMITH,10,63357901
1684,SMOKE,11,16567733
1685,SMOKY,14,1818184
1686,SNACK,11,3847152
1687,SNAIL,5,1580640
1688,SNAKE,9,7606395
1689,SNAPS,7,1512455
1690,SNEAK,9,2280877
1691,SNOOP,7,2787168
1692,SNORT,5,1522943
1693,SNOWY,11,1631719
1694,SOAPS,7,2347810
1695,SOBER,7,1672710
1696,SOCKS,11,8632058
1697,SOFAS,8,1871940
1698,SOILS,5,4789565
1699,SOLAR,5,20423792
1700,SOLID,6,37426444
1701,SOLVE,8,13452150
1702,SONGS,6,49272598
1703,SONIC,7,7298920
1704,SONNY,8,2004845
1705,SORRY,8,35595812
1706,SORTS,5,6005834
1707,SOULS,5,5416970
1708,SOUND,6,100010833
1709,SOUPS,7,2141445
1710,SOUTH,8,238581133
1711,SPACE,9,121505269
1712,SPADE,8,1567565
1713,SPAIN,7,51553238
1714,SPANK,11,5416004
1715,SPANS,7,1675632
1716,SPARE,7,10009522
1717,SPARK,11,4842423
1718,SPAWN,10,1908837
1719,SPEAK,11,31324712
1720,SPEAR,7,2942538
1721,SPECS,9,26029159
1722,SPEED,8,83135749
1723,SPELL,7,8506049
1724,SPEND,8,26713310
1725,SPENT,7,29719451
1726,SPERM,9,5944531
1727,SPICE,9,7120274
1728,SPICY,12,3170817
1729,SPIES,7,5756937
1730,SPIKE,11,4833410
1731,SPILL,7,3890646
1732,SPINE,7,5370074
1733,SPINS,7,1421064
1734,SPITE,7,4493143
1735,SPLIT,7,19998411
1736,SPOIL,7,1419320
1737,SPOKE,11,11577917
1738,SPOOL,7,1499516
1739,SPOON,7,4000406
1740,SPORT,7,62683851
1741,SPOTS,7,10109662
1742,SPRAY,10,15148133
1743,SPURS,7,2295629
1744,SQUAD,15,8744772
1745,SQUID,15,3828491
1746,STACK,11,11090579
1747,STAFF,11,151553180
1748,STAGE,6,52518330
1749,STAIN,5,3512824
1750,STAIR,5,2012524
1751,STAKE,9,5061965
1752,STALL,5,2114252
1753,STAMP,9,9760468
1754,STAND,6,46292709
1755,STARE,5,1925618
1756,STARK,9,3479265
1757,STARR,5,3240045
1758,STARS,5,58352743
1759,START,5,161913408
1760,STASH,8,1553737
1761,STATE,5,453104133
1762,STATS,5,33096627
1763,STAYS,8,5547528
1764,STEAK,9,4413680
1765,STEAL,5,6257493
1766,STEAM,7,11141309
1767,STEEL,5,49452604
1768,STEEP,7,3399504
1769,STEER,5,2159937
1770,STEIN,5,3893544
1771,STEMS,7,3336905
1772,STEPS,7,38254292
1773,STERN,5,4643592
1774,STICK,11,22399126
1775,STIFF,11,3492842
1776,STILL,5,190433487
1777,STING,6,2773263
1778,STOCK,11,176295589
1779,STOKE,9,2552684
1780,STOLE,5,2814273
1781,STONE,5,42494931
1782,STONY,8,1907651
1783,STOOD,6,11116275
1784,STOOL,5,3031945
1785,STOPS,7,9118589
1786,STORE,5,291308910
1787,STORM,7,22242164
1788,STORY,8,138433809
1789,STOUT,5,1939514
1790,STOVE,8,3914849
1791,STRAP,7,11414669
1792,STRAW,8,3958211
1793,STRAY,8,1807545
1794,STRIP,7,18711440
1795,STUCK,11,9120620
1796,STUDS,6,3215366
1797,STUDY,9,152978354
1798,STUFF,11,81444510
1799,STUNT,5,1754828
1800,STYLE,8,101024266
1801,SUCKS,11,7743126
1802,SUEDE,6,3941313
1803,SUGAR,6,22450333
1804,SUITE,5,44829675
1805,SUITS,5,7986526
1806,SUNNY,8,9497382
1807,SUPER,7,66703287
1808,SUPRA,7,4329457
1809,SURGE,6,5436623
1810,SUSHI,8,3488691
1811,SUTRA,5,1580071
1812,SWAMP,12,2575587
1813,SWEAR,8,3082372
1814,SWEAT,8,4551615
1815,SWEEP,10,3623863
1816,SWEET,8,32311923
1817,SWELL,8,2213445
1818,SWEPT,10,2612095
1819,SWIFT,11,5850031
1820,SWINE,8,1578713
1821,SWING,9,12734467
1822,SWISS,8,21324437
1823,SWORD,9,8835685
1824,SWORN,8,2332355
1825,SYNTH,11,1697095
1826,SYRUP,10,3108136
1827,TABLE,7,165341452
1828,TABOO,7,3079923
1829,TAILS,5,2287798
1830,TAKEN,9,87019836
1831,TAKES,9,57784233
1832,TALES,5,11222332
1833,TALKS,9,15484166
1834,TALLY,8,1812605
1835,TAMMY,12,2025634
1836,TANGO,6,2727306
1837,TANKS,9,8526525
1838,TAPED,8,1534342
1839,TAPES,7,9719559
1840,TAROT,5,3561389
1841,TASKS,9,20273373
1842,TASTE,5,17311343
1843,TASTY,8,3565676
1844,TAXED,13,1537786
1845,TAXES,12,33674672
1846,TAXIS,12,2034449
1847,TEACH,10,19079783
1848,TEAMS,7,34383288
1849,TEARS,5,9274206
1850,TEASE,5,2019275
1851,TECHS,10,1865665
1852,TEDDY,10,5602073
1853,TEENS,5,70859771
1854,TEETH,8,9769437
1855,TELLS,5,15534490
1856,TEMPO,9,3372997
1857,TEMPS,9,2309859
1858,TENDS,6,4861901
1859,TENOR,5,2361385
1860,TENSE,5,2320926
1861,TENTH,8,3317039
1862,TENTS,5,3850460
1863,TERMS,7,277705910
1864,TERRA,5,3747696
1865,TERRY,8,13981773
1866,TESTS,5,42336117
1867,TEXAS,12,129399241
1868,TEXTS,12,12095723
1869,THANK,12,63234550
1870,THANX,15,1979526
1871,THEFT,11,12744763
1872,THEIR,8,782849411
1873,THEME,10,37219937
1874,THERE,8,701170205
1875,THESE,8,541003982
1876,THETA,8,5070673
1877,THICK,14,14030556
1878,THIEF,11,2970770
1879,THIGH,12,2171107
1880,THING,9,97451660
1881,THINK,12,217856550
1882,THIRD,9,95489240
1883,THONG,9,7747699
1884,THORN,8,1421673
1885,THOSE,8,270014141
1886,THREE,8,223417394
1887,THREW,11,4410853
1888,THROW,11,15751985
1889,THUMB,12,7284386
1890,TIDAL,6,2268649
1891,TIDES,6,1884762
1892,TIGER,6,13763074
1893,TIGHT,9,17981854
1894,TILES,5,5251527
1895,TIMED,8,2978189
1896,TIMER,7,7488669
1897,TIMES,7,202950880
1898,TIRED,6,11158233
1899,TIRES,5,8007166
1900,TITAN,5,3974407
1901,TITLE,5,196676017
1902,TOAST,5,3262695
1903,TODAY,9,239271204
1904,TOKEN,9,5672353
1905,TOMMY,12,9327874
1906,TONER,5,10508427
1907,TONES,5,13373535
1908,TONGA,6,4813052
1909,TOOLS,5,185555874
1910,TOONS,5,3318074
1911,TOOTH,8,5551049
1912,TOPAZ,16,2348935
1913,TOPIC,9,149001702
1914,TORAH,8,2698722
1915,TORCH,10,3360286
1916,TORSO,5,1769562
1917,TOTAL,5,222649459
1918,TOUCH,10,36831035
1919,TOUGH,9,13560922
1920,TOURS,5,37957036
1921,TOWEL,8,4901668
1922,TOWER,8,20686918
1923,TOWNS,8,13337599
1924,TOXIC,14,9065369
1925,TOXIN,12,1495922
1926,TRACE,7,11697252
1927,TRACK,11,112385243
1928,TRACT,7,5897046
1929,TRADE,6,110086585
1930,TRAIL,5,23648838
1931,TRAIN,5,31816971
1932,TRAIT,5,1705417
1933,TRANS,5,14243681
1934,TRAPS,7,3628684
1935,TRASH,8,7092806
1936,TRAYS,8,2586701
1937,TREAD,6,1672572
1938,TREAT,5,19442315
1939,TREES,5,27378116
1940,TREND,6,15747018
1941,TRIAD,6,1519533
1942,TRIAL,5,56547673
1943,TRIBE,7,7890695
1944,TRICK,11,8208473
1945,TRIED,6,34201786
1946,TRIES,5,8236889
1947,TRIPS,7,17273017
1948,TROLL,5,2079165
1949,TROOP,7,2609404
1950,TROUT,5,5369048
1951,TRUCK,11,32136249
1952,TRULY,8,21693553
1953,TRUMP,9,2879094
1954,TRUNK,9,11020361
1955,TRUSS,5,1484384
1956,TRUST,5,55157142
1957,TRUTH,8,35345925
1958,TUBES,7,7413309
1959,TULIP,7,2406691
1960,TUMMY,12,1685130
1961,TUMOR,7,7430480
1962,TUNED,6,3761208
1963,TUNER,5,6238319
1964,TUNES,5,6610108
1965,TURBO,7,10058686
1966,TURKS,9,4986307
1967,TURNS,5,17261850
1968,TUTOR,5,4635949
1969,TWAIN,8,4530277
1970,TWEAK,12,1705761
1971,TWEED,9,1631867
1972,TWICE,10,19945569
1973,TWILL,8,1489583
1974,TWINK,12,2332335
1975,TWINS,8,7815027
1976,TWIST,8,7240854
1977,TYING,9,1898217
1978,TYLER,8,7474964
1979,TYPED,11,3681027
1980,TYPES,10,77070740
1981,TYRES,8,2510350
1982,ULTRA,5,21795075
1983,UNCLE,7,8127694
1984,UNCUT,7,3929056
1985,UNDER,6,313296421
1986,UNION,5,72603888
1987,UNITE,5,2888724
1988,UNITS,5,56512308
1989,UNITY,8,8657709
1990,UNTIL,5,113090086
1991,UPPER,9,38341510
1992,UPSET,7,5544484
1993,URBAN,7,38087999
1994,URGED,7,4685830
1995,URGES,6,3054809
1996,URINE,5,4903932
1997,USAGE,6,25440406
1998,USERS,5,149320234
1999,USHER,8,4948609
2000,USING,6,269448880
2001,USUAL,5,17044981
2002,UTTER,5,2096533
2003,VAGUE,9,2783775
2004,VALET,8,2052690
2005,VALID,9,57094711
2006,VALUE,8,182061247
2007,VALVE,11,11325360
2008,VAPOR,10,3744912
2009,VASES,8,1657182
2010,VAULT,8,5408483
2011,VEGAN,9,2642418
2012,VEGAS,9,44810653
2013,VEINS,8,2282346
2014,VENOM,10,1883158
2015,VENTS,8,1493908
2016,VENUE,8,14204074
2017,VENUS,8,4618752
2018,VERBS,10,1777489
2019,VERGE,9,1422550
2020,VERSE,8,7469512
2021,VESTS,8,2056167
2022,VIDEO,9,365410017
2023,VIEWS,11,77333335
2024,VILLA,8,17587586
2025,VINES,8,1952255
2026,VINYL,11,17009819
2027,VIOLA,8,2458792
2028,VIPER,10,2201559
2029,VIRAL,8,5969493
2030,VIRUS,8,36286003
2031,VISAS,8,2876354
2032,VISIT,8,187062316
2033,VISOR,8,1850201
2034,VISTA,8,13991160
